fid,tipo,cd_geocodd,nm_municip,cd_geocodb,area_ha,area_km2,densid_pop,nm_subdist,nm_meso,nm_micro,cd_geocodi,cd_geocods,id,SHAPE__Length,nm_bairro,SHAPE__Area,nm_distrit,cd_geocodm
61,URBANO,292740805,SALVADOR, ,4.51328164,4.51328835,160.19362031,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060061,29274080506,51369,979.310701917114, ,45132.81289947,SALVADOR,2927408
62,URBANO,292740805,SALVADOR, ,4.4594681,4.45947473,263.03546311,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060062,29274080506,51370,1000.53230584303, ,44594.682283695,SALVADOR,2927408
63,URBANO,292740805,SALVADOR, ,1.30857128,1.30857322,515.06479635,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060063,29274080506,51371,549.517219306386, ,13085.710454505,SALVADOR,2927408
64,URBANO,292740805,SALVADOR, ,1.45316091,1.45316307,602.1347632,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060064,29274080506,51372,854.130025392341, ,14531.602320275,SALVADOR,2927408
65,URBANO,292740805,SALVADOR, ,0.89220334,0.89220467,444.96516853,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060065,29274080506,51373,481.499639025418, ,8922.03336644,SALVADOR,2927408
66,URBANO,292740805,SALVADOR, ,1.31575598,1.31575793,498.57195266,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060066,29274080506,51374,506.02144468199, ,13157.558005305,SALVADOR,2927408
67,URBANO,292740805,SALVADOR, ,1.25467108,1.25467295,581.82493127,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060067,29274080506,51375,604.366620216267, ,12546.70187242,SALVADOR,2927408
68,URBANO,292740805,SALVADOR, ,1.4849307,1.4849329,354.89819024,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060068,29274080506,51376,602.716692822041, ,14849.31005364,SALVADOR,2927408
69,URBANO,292740805,SALVADOR, ,3.63480094,3.63480634,290.79953655,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060069,29274080506,51377,810.940393968982, ,36347.998868885,SALVADOR,2927408
70,URBANO,292740805,SALVADOR, ,1.46944715,1.46944933,332.09719433,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060070,29274080506,51378,567.162314711298, ,14694.474548945,SALVADOR,2927408
71,URBANO,292740805,SALVADOR, ,9.41475719,9.4147712,81.36150991,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060071,29274080506,51379,1253.64270528942, ,94147.57052688,SALVADOR,2927408
72,URBANO,292740805,SALVADOR, ,4.42165068,4.42165726,132.5294943,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060072,29274080506,51380,922.758400767383, ,44216.504323815,SALVADOR,2927408
73,URBANO,292740805,SALVADOR, ,4.54535248,4.54535925,70.62148062,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060073,29274080506,51381,940.108744529786, ,45453.5274969,SALVADOR,2927408
74,URBANO,292740805,SALVADOR, ,2.5404989,2.54050268,191.30072304,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060074,29274080506,51382,653.236246506881, ,25405.001923115,SALVADOR,2927408
75,URBANO,292740805,SALVADOR, ,1.84011966,1.84012239,308.6751195,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060075,29274080506,51383,532.565378036183, ,18401.20050581,SALVADOR,2927408
76,URBANO,292740805,SALVADOR, ,2.0155278,2.0155308,354.24911398,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060076,29274080506,51384,566.384955275379, ,20155.28137734,SALVADOR,2927408
77,URBANO,292740805,SALVADOR, ,2.13278976,2.13279294,291.63637471,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060077,29274080506,51385,813.557231144979, ,21327.89665552,SALVADOR,2927408
78,URBANO,292740805,SALVADOR, ,6.01161353,6.01162247,311.23045537,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060078,29274080506,51386,1461.35255454688, ,60116.14066138,SALVADOR,2927408
79,URBANO,292740805,SALVADOR, ,5.48890088,5.48890905,52.83381406,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060079,29274080506,51387,1364.87392585145, ,54889.007149365,SALVADOR,2927408
80,URBANO,292740805,SALVADOR, ,26.71022034,26.71026004,15.08783514,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060080,29274080506,51388,10353.2424006659, ,267102.160218795,SALVADOR,2927408
81,URBANO,292740805,SALVADOR, ,72.21989399,72.22000123,9.04181652,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060081,29274080506,51389,4185.34788236861, ,722198.948566575,SALVADOR,2927408
82,URBANO,292740805,SALVADOR, ,0.4330697,0.43307035,1406.23804601,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060082,29274080506,51390,286.629915901068, ,4330.698532955,SALVADOR,2927408
83,URBANO,292740805,SALVADOR, ,0.51488036,0.51488112,1217.75682061,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060083,29274080506,51391,327.448267490494, ,5148.805312115,SALVADOR,2927408
84,URBANO,292740805,SALVADOR, ,0.41534927,0.41534989,1189.35868303,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060084,29274080506,51392,256.977177417624, ,4153.492796155,SALVADOR,2927408
85,URBANO,292740805,SALVADOR, ,0.69394843,0.69394946,1098.06267555,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060085,29274080506,51393,374.848204562246, ,6939.48602644,SALVADOR,2927408
86,URBANO,292740805,SALVADOR, ,0.58374396,0.58374483,1036.41175316,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060086,29274080506,51394,300.608041052476, ,5837.4417468,SALVADOR,2927408
87,URBANO,292740805,SALVADOR, ,9.1514589,9.1514725,82.82820058,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060087,29274080506,51395,1584.08394617724, ,91514.58212021,SALVADOR,2927408
88,URBANO,292740805,SALVADOR, ,0.67731673,0.67731774,894.70564271,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060088,29274080506,51396,320.591155954529, ,6773.16606071,SALVADOR,2927408
89,URBANO,292740805,SALVADOR, ,3.35099843,3.35100341,4.47627118,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060089,29274080506,51397,1146.26666493812, ,33509.988116395,SALVADOR,2927408
90,URBANO,292740805,SALVADOR, ,2.53535113,2.5353549,273.72893653,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060090,29274080506,51398,863.95070580511, ,25353.51572445,SALVADOR,2927408
91,URBANO,292740805,SALVADOR, ,2.47429038,2.47429406,297.45858097,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060091,29274080506,51399,670.976493348883, ,24742.897052365,SALVADOR,2927408
92,URBANO,292740805,SALVADOR, ,12.60959628,12.60961503,55.51319356,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060092,29274080506,51400,1495.14032506208, ,126095.958944175,SALVADOR,2927408
93,URBANO,292740805,SALVADOR, ,4.55793895,4.55794573,96.97351096,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060093,29274080506,51401,1435.62540515392, ,45579.395314535,SALVADOR,2927408
94,URBANO,292740805,SALVADOR, ,16.01030468,16.01032847,37.0385905,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060094,29274080506,51402,1735.95592695752, ,160103.044458835,SALVADOR,2927408
